order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
ICG11-010,International,CG,9/2/2011,10/2/2011,,FROXA S.A.,KIEN GIANG SEA PRODUCT CORPORATION,CONTS,,,"AN LAC WH, BINH CHANH DIST., HCMC",CMi10101-0182_2,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,PANGASIUS FILLET,FROZEN PANGASIUS FILLETS,1,Cont(s)
ICG11-011,International,CG,10/2/2011,8/2/2011,9/2/2011,BRICO-COOK S.L.,PT. WIRASINDO SANTAKARYA,CONTS,,,INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,FURNITURE,HOME AND OFFICE FURNITURE,2,Cont(s)
ICG11-012,International,CG,21/02/2011,21/02/2011,,GRUPO EMPRESARIAL COMERCIALIZADORA ITH,PT CAHAYA PERDANA PLASTIC - LION STAR,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,UTENSIL,PLASTIC OF LION STAR GOODS,6,Cont(s)
ICG11-013,International,CG,21/02/2011,,,COMIMPORT,GRUPO ONUX S.A,CONTS,,,INDONESIA,,GRUPO ONUX S.A.,GRUPO ONUX S.A.,"Commercial Park, Local No 2 PB, Corregimiento de Ancon Ciudad de Panama","Commercial Park, Local No 2 PB, Corregimiento de Ancon Ciudad de Panama","Commercial Park, Local No 2 PB, Corregimiento de Ancon Ciudad de Panama",,,,PAPER,PAPER,113.33,KGS
ICG11-014,International,CG,21/02/2011,,,CARIBEX,CARIBEX SEAFOOD,CONTS,,,,,CARIBEX SEAFOOD,CARIBEX SEAFOOD,,,,,,,BASA FILLET,BASA DE FILLET,2,Cont(s)
ICG11-015,International,CG,21/02/2011,,,TRD - CUBA,"THAI BINH IMPORT EXPORT CO., LTD",CONTS,,,HOCHIMINH CITY,,HANOI RUBBER JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN CAO SU HÀ NỘI,"Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.","Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.","Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.",,,,UTENSIL,KITCHEN SINKS,1,Cont(s)
ICG11-016,International,CG,21/02/2011,,,TRD - CUBA,"THAI BINH IMPORT EXPORT CO., LTD",CONTS,,,HOCHIMINH CITY,,HANOI RUBBER JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN CAO SU HÀ NỘI,"Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.","Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.","Tổ 13, phường Cầu Diễn, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam.",,,,UTENSIL,KITCHEN SINKS,1,Cont(s)
ICG11-017,International,CG,22/02/2011,,,QUIMIMPORT - HABANA CUBA,AGRIA SA,CONTS,,,MALAYSIA,,AGRIA SA,AGRIA SA,"ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV","ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV","ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV",,,,CHEMICAL,MANCOZEB PH80,2,Cont(s)
ICG11-018,International,CG,22/02/2011,,,ECOIMPEX - CUBA,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,PAPER,2,Cont(s)
ICG11-019,International,CG,1/3/2011,,,ANERGOIMPORT - CUBA,AREVA T & D S.A,CONTS,,,INDONESIA,,AREVA T&D S.A,AREVA T&D S.A,,,,,,,Transformer,POWER TRANSFORMERS,15,Cont(s)
